group,list,edad,sexo,estudios,word,cue,response,recall
Incidental,B,51,Mujer,9,HUESO,S,2,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO
Incidental,B,51,Mujer,9,MIEL,A,Agradable,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO
Incidental,B,51,Mujer,9,RINOCERONTE,S,5+,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO
Incidental,B,51,Mujer,9,CAMA,A,Agradable,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO
Incidental,B,51,Mujer,9,TORNADO,A,Desagradable,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO
Incidental,B,51,Mujer,9,SOL,S,1,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO
Incidental,B,51,Mujer,9,TANQUE,A,Desagradable,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO
Incidental,B,51,Mujer,9,VINO,S,2,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO
Incidental,B,51,Mujer,9,MOSCA,A,Desagradable,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO
Incidental,B,51,Mujer,9,LENTEJAS,A,Agradable,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO
Incidental,B,51,Mujer,9,FRIO,S,2,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO
Incidental,B,51,Mujer,9,ELEFANTE,S,4,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO
Incidental,B,51,Mujer,9,CHOCOLATE,A,Agradable,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO
Incidental,B,51,Mujer,9,PAZ,A,Agradable,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO
Incidental,B,51,Mujer,9,PRECIPICIO,S,4,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO
Incidental,B,51,Mujer,9,BIKINI,A,Agradable,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO
Incidental,B,51,Mujer,9,MAR,S,1,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO
Incidental,B,51,Mujer,9,COCODRILO,A,Desagradable,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO
Incidental,B,51,Mujer,9,BUITRE,S,2,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO
Incidental,B,51,Mujer,9,IGLESIA,A,Agradable,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO
Incidental,B,51,Mujer,9,VOLCAN,S,2,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO
Incidental,B,51,Mujer,9,AVISPA,A,Desagradable,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO
Incidental,B,51,Mujer,9,FLOR,S,1,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO
Incidental,B,51,Mujer,9,ZAPATO,S,3,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO
Incidental,B,51,Mujer,9,DELFIN,A,Agradable,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO
Incidental,B,51,Mujer,9,ENSALADA,S,4,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO
Incidental,B,51,Mujer,9,TERREMOTO,A,Desagradable,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO
Incidental,B,51,Mujer,9,GUSANO,S,3,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO
Incidental,B,51,Mujer,9,FRESA,S,2,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO
Incidental,B,51,Mujer,9,DESIERTO,A,Desagradable,MIEL CHOCOLATE DELFIN IGLESIA MOSCA AVISPA COCODRILO RINOCERONTE MAR PRECIPICIO TERREMOTO FLOR TANQUE FRIO VINO
