group,list,edad,sexo,estudios,word,cue,response,recall
Intencional,A,21,Hombre,5,HUESO,A,Desagradable,FRIO SOL FLOR ELEFANTE ZAPATO RINOCERONTE VOLCAN FRESA TERREMOTO MIEL
Intencional,A,21,Hombre,5,MIEL,S,2,FRIO SOL FLOR ELEFANTE ZAPATO RINOCERONTE VOLCAN FRESA TERREMOTO MIEL
Intencional,A,21,Hombre,5,RINOCERONTE,A,Agradable,FRIO SOL FLOR ELEFANTE ZAPATO RINOCERONTE VOLCAN FRESA TERREMOTO MIEL
Intencional,A,21,Hombre,5,CAMA,S,2,FRIO SOL FLOR ELEFANTE ZAPATO RINOCERONTE VOLCAN FRESA TERREMOTO MIEL
Intencional,A,21,Hombre,5,TORNADO,S,3,FRIO SOL FLOR ELEFANTE ZAPATO RINOCERONTE VOLCAN FRESA TERREMOTO MIEL
Intencional,A,21,Hombre,5,SOL,A,Agradable,FRIO SOL FLOR ELEFANTE ZAPATO RINOCERONTE VOLCAN FRESA TERREMOTO MIEL
Intencional,A,21,Hombre,5,TANQUE,S,2,FRIO SOL FLOR ELEFANTE ZAPATO RINOCERONTE VOLCAN FRESA TERREMOTO MIEL
Intencional,A,21,Hombre,5,VINO,A,Agradable,FRIO SOL FLOR ELEFANTE ZAPATO RINOCERONTE VOLCAN FRESA TERREMOTO MIEL
Intencional,A,21,Hombre,5,MOSCA,S,2,FRIO SOL FLOR ELEFANTE ZAPATO RINOCERONTE VOLCAN FRESA TERREMOTO MIEL
Intencional,A,21,Hombre,5,LENTEJAS,S,3,FRIO SOL FLOR ELEFANTE ZAPATO RINOCERONTE VOLCAN FRESA TERREMOTO MIEL
Intencional,A,21,Hombre,5,FRIO,A,Agradable,FRIO SOL FLOR ELEFANTE ZAPATO RINOCERONTE VOLCAN FRESA TERREMOTO MIEL
Intencional,A,21,Hombre,5,ELEFANTE,A,Agradable,FRIO SOL FLOR ELEFANTE ZAPATO RINOCERONTE VOLCAN FRESA TERREMOTO MIEL
Intencional,A,21,Hombre,5,CHOCOLATE,S,4,FRIO SOL FLOR ELEFANTE ZAPATO RINOCERONTE VOLCAN FRESA TERREMOTO MIEL
Intencional,A,21,Hombre,5,PAZ,S,1,FRIO SOL FLOR ELEFANTE ZAPATO RINOCERONTE VOLCAN FRESA TERREMOTO MIEL
Intencional,A,21,Hombre,5,PRECIPICIO,A,Desagradable,FRIO SOL FLOR ELEFANTE ZAPATO RINOCERONTE VOLCAN FRESA TERREMOTO MIEL
Intencional,A,21,Hombre,5,BIKINI,S,3,FRIO SOL FLOR ELEFANTE ZAPATO RINOCERONTE VOLCAN FRESA TERREMOTO MIEL
Intencional,A,21,Hombre,5,MAR,A,Agradable,FRIO SOL FLOR ELEFANTE ZAPATO RINOCERONTE VOLCAN FRESA TERREMOTO MIEL
Intencional,A,21,Hombre,5,COCODRILO,S,4,FRIO SOL FLOR ELEFANTE ZAPATO RINOCERONTE VOLCAN FRESA TERREMOTO MIEL
Intencional,A,21,Hombre,5,BUITRE,A,Desagradable,FRIO SOL FLOR ELEFANTE ZAPATO RINOCERONTE VOLCAN FRESA TERREMOTO MIEL
Intencional,A,21,Hombre,5,IGLESIA,S,3,FRIO SOL FLOR ELEFANTE ZAPATO RINOCERONTE VOLCAN FRESA TERREMOTO MIEL
Intencional,A,21,Hombre,5,VOLCAN,A,Desagradable,FRIO SOL FLOR ELEFANTE ZAPATO RINOCERONTE VOLCAN FRESA TERREMOTO MIEL
Intencional,A,21,Hombre,5,AVISPA,S,3,FRIO SOL FLOR ELEFANTE ZAPATO RINOCERONTE VOLCAN FRESA TERREMOTO MIEL
Intencional,A,21,Hombre,5,FLOR,A,Agradable,FRIO SOL FLOR ELEFANTE ZAPATO RINOCERONTE VOLCAN FRESA TERREMOTO MIEL
Intencional,A,21,Hombre,5,ZAPATO,A,Agradable,FRIO SOL FLOR ELEFANTE ZAPATO RINOCERONTE VOLCAN FRESA TERREMOTO MIEL
Intencional,A,21,Hombre,5,DELFIN,S,2,FRIO SOL FLOR ELEFANTE ZAPATO RINOCERONTE VOLCAN FRESA TERREMOTO MIEL
Intencional,A,21,Hombre,5,ENSALADA,A,Agradable,FRIO SOL FLOR ELEFANTE ZAPATO RINOCERONTE VOLCAN FRESA TERREMOTO MIEL
Intencional,A,21,Hombre,5,TERREMOTO,S,4,FRIO SOL FLOR ELEFANTE ZAPATO RINOCERONTE VOLCAN FRESA TERREMOTO MIEL
Intencional,A,21,Hombre,5,GUSANO,A,Desagradable,FRIO SOL FLOR ELEFANTE ZAPATO RINOCERONTE VOLCAN FRESA TERREMOTO MIEL
Intencional,A,21,Hombre,5,FRESA,A,Agradable,FRIO SOL FLOR ELEFANTE ZAPATO RINOCERONTE VOLCAN FRESA TERREMOTO MIEL
Intencional,A,21,Hombre,5,DESIERTO,S,3,FRIO SOL FLOR ELEFANTE ZAPATO RINOCERONTE VOLCAN FRESA TERREMOTO MIEL
