group,list,edad,sexo,estudios,word,cue,response,recall
Intencional,A,22,Hombre,19,HUESO,A,Agradable,"Mar Sol Elefante Mosca Precipicio Iglesia Vino Fresa Buitre Volcán Hueso Ropa Mosca "
Intencional,A,22,Hombre,19,MIEL,S,2,"Mar Sol Elefante Mosca Precipicio Iglesia Vino Fresa Buitre Volcán Hueso Ropa Mosca "
Intencional,A,22,Hombre,19,RINOCERONTE,A,Agradable,"Mar Sol Elefante Mosca Precipicio Iglesia Vino Fresa Buitre Volcán Hueso Ropa Mosca "
Intencional,A,22,Hombre,19,CAMA,S,2,"Mar Sol Elefante Mosca Precipicio Iglesia Vino Fresa Buitre Volcán Hueso Ropa Mosca "
Intencional,A,22,Hombre,19,TORNADO,S,3,"Mar Sol Elefante Mosca Precipicio Iglesia Vino Fresa Buitre Volcán Hueso Ropa Mosca "
Intencional,A,22,Hombre,19,SOL,A,Agradable,"Mar Sol Elefante Mosca Precipicio Iglesia Vino Fresa Buitre Volcán Hueso Ropa Mosca "
Intencional,A,22,Hombre,19,TANQUE,S,2,"Mar Sol Elefante Mosca Precipicio Iglesia Vino Fresa Buitre Volcán Hueso Ropa Mosca "
Intencional,A,22,Hombre,19,VINO,A,Agradable,"Mar Sol Elefante Mosca Precipicio Iglesia Vino Fresa Buitre Volcán Hueso Ropa Mosca "
Intencional,A,22,Hombre,19,MOSCA,S,2,"Mar Sol Elefante Mosca Precipicio Iglesia Vino Fresa Buitre Volcán Hueso Ropa Mosca "
Intencional,A,22,Hombre,19,LENTEJAS,S,3,"Mar Sol Elefante Mosca Precipicio Iglesia Vino Fresa Buitre Volcán Hueso Ropa Mosca "
Intencional,A,22,Hombre,19,FRIO,A,Desagradable,"Mar Sol Elefante Mosca Precipicio Iglesia Vino Fresa Buitre Volcán Hueso Ropa Mosca "
Intencional,A,22,Hombre,19,ELEFANTE,A,Agradable,"Mar Sol Elefante Mosca Precipicio Iglesia Vino Fresa Buitre Volcán Hueso Ropa Mosca "
Intencional,A,22,Hombre,19,CHOCOLATE,S,4,"Mar Sol Elefante Mosca Precipicio Iglesia Vino Fresa Buitre Volcán Hueso Ropa Mosca "
Intencional,A,22,Hombre,19,PAZ,S,1,"Mar Sol Elefante Mosca Precipicio Iglesia Vino Fresa Buitre Volcán Hueso Ropa Mosca "
Intencional,A,22,Hombre,19,PRECIPICIO,A,Desagradable,"Mar Sol Elefante Mosca Precipicio Iglesia Vino Fresa Buitre Volcán Hueso Ropa Mosca "
Intencional,A,22,Hombre,19,BIKINI,S,3,"Mar Sol Elefante Mosca Precipicio Iglesia Vino Fresa Buitre Volcán Hueso Ropa Mosca "
Intencional,A,22,Hombre,19,MAR,A,Agradable,"Mar Sol Elefante Mosca Precipicio Iglesia Vino Fresa Buitre Volcán Hueso Ropa Mosca "
Intencional,A,22,Hombre,19,COCODRILO,S,4,"Mar Sol Elefante Mosca Precipicio Iglesia Vino Fresa Buitre Volcán Hueso Ropa Mosca "
Intencional,A,22,Hombre,19,BUITRE,A,Agradable,"Mar Sol Elefante Mosca Precipicio Iglesia Vino Fresa Buitre Volcán Hueso Ropa Mosca "
Intencional,A,22,Hombre,19,IGLESIA,S,4,"Mar Sol Elefante Mosca Precipicio Iglesia Vino Fresa Buitre Volcán Hueso Ropa Mosca "
Intencional,A,22,Hombre,19,VOLCAN,A,Agradable,"Mar Sol Elefante Mosca Precipicio Iglesia Vino Fresa Buitre Volcán Hueso Ropa Mosca "
Intencional,A,22,Hombre,19,AVISPA,S,3,"Mar Sol Elefante Mosca Precipicio Iglesia Vino Fresa Buitre Volcán Hueso Ropa Mosca "
Intencional,A,22,Hombre,19,FLOR,A,Agradable,"Mar Sol Elefante Mosca Precipicio Iglesia Vino Fresa Buitre Volcán Hueso Ropa Mosca "
Intencional,A,22,Hombre,19,ZAPATO,A,Agradable,"Mar Sol Elefante Mosca Precipicio Iglesia Vino Fresa Buitre Volcán Hueso Ropa Mosca "
Intencional,A,22,Hombre,19,DELFIN,S,2,"Mar Sol Elefante Mosca Precipicio Iglesia Vino Fresa Buitre Volcán Hueso Ropa Mosca "
Intencional,A,22,Hombre,19,ENSALADA,A,Desagradable,"Mar Sol Elefante Mosca Precipicio Iglesia Vino Fresa Buitre Volcán Hueso Ropa Mosca "
Intencional,A,22,Hombre,19,TERREMOTO,S,4,"Mar Sol Elefante Mosca Precipicio Iglesia Vino Fresa Buitre Volcán Hueso Ropa Mosca "
Intencional,A,22,Hombre,19,GUSANO,A,Desagradable,"Mar Sol Elefante Mosca Precipicio Iglesia Vino Fresa Buitre Volcán Hueso Ropa Mosca "
Intencional,A,22,Hombre,19,FRESA,A,Desagradable,"Mar Sol Elefante Mosca Precipicio Iglesia Vino Fresa Buitre Volcán Hueso Ropa Mosca "
Intencional,A,22,Hombre,19,DESIERTO,S,4,"Mar Sol Elefante Mosca Precipicio Iglesia Vino Fresa Buitre Volcán Hueso Ropa Mosca "
