group,list,edad,sexo,estudios,word,cue,response,recall
Incidental,A,23,Hombre,7,HUESO,A,Desagradable,"sol
zapato 
mar
miel
precipicio
"
Incidental,A,23,Hombre,7,MIEL,S,1,"sol
zapato 
mar
miel
precipicio
"
Incidental,A,23,Hombre,7,RINOCERONTE,A,Desagradable,"sol
zapato 
mar
miel
precipicio
"
Incidental,A,23,Hombre,7,CAMA,S,2,"sol
zapato 
mar
miel
precipicio
"
Incidental,A,23,Hombre,7,TORNADO,S,4,"sol
zapato 
mar
miel
precipicio
"
Incidental,A,23,Hombre,7,SOL,A,Agradable,"sol
zapato 
mar
miel
precipicio
"
Incidental,A,23,Hombre,7,TANQUE,S,2,"sol
zapato 
mar
miel
precipicio
"
Incidental,A,23,Hombre,7,VINO,A,Agradable,"sol
zapato 
mar
miel
precipicio
"
Incidental,A,23,Hombre,7,MOSCA,S,2,"sol
zapato 
mar
miel
precipicio
"
Incidental,A,23,Hombre,7,LENTEJAS,S,3,"sol
zapato 
mar
miel
precipicio
"
Incidental,A,23,Hombre,7,FRIO,A,Desagradable,"sol
zapato 
mar
miel
precipicio
"
Incidental,A,23,Hombre,7,ELEFANTE,A,Desagradable,"sol
zapato 
mar
miel
precipicio
"
Incidental,A,23,Hombre,7,CHOCOLATE,S,4,"sol
zapato 
mar
miel
precipicio
"
Incidental,A,23,Hombre,7,PAZ,S,1,"sol
zapato 
mar
miel
precipicio
"
Incidental,A,23,Hombre,7,PRECIPICIO,A,Desagradable,"sol
zapato 
mar
miel
precipicio
"
Incidental,A,23,Hombre,7,BIKINI,S,3,"sol
zapato 
mar
miel
precipicio
"
Incidental,A,23,Hombre,7,MAR,A,Agradable,"sol
zapato 
mar
miel
precipicio
"
Incidental,A,23,Hombre,7,COCODRILO,S,4,"sol
zapato 
mar
miel
precipicio
"
Incidental,A,23,Hombre,7,BUITRE,A,Desagradable,"sol
zapato 
mar
miel
precipicio
"
Incidental,A,23,Hombre,7,IGLESIA,S,3,"sol
zapato 
mar
miel
precipicio
"
Incidental,A,23,Hombre,7,VOLCAN,A,Desagradable,"sol
zapato 
mar
miel
precipicio
"
Incidental,A,23,Hombre,7,AVISPA,S,3,"sol
zapato 
mar
miel
precipicio
"
Incidental,A,23,Hombre,7,FLOR,A,Agradable,"sol
zapato 
mar
miel
precipicio
"
Incidental,A,23,Hombre,7,ZAPATO,A,Agradable,"sol
zapato 
mar
miel
precipicio
"
Incidental,A,23,Hombre,7,DELFIN,S,2,"sol
zapato 
mar
miel
precipicio
"
Incidental,A,23,Hombre,7,ENSALADA,A,Agradable,"sol
zapato 
mar
miel
precipicio
"
Incidental,A,23,Hombre,7,TERREMOTO,S,4,"sol
zapato 
mar
miel
precipicio
"
Incidental,A,23,Hombre,7,GUSANO,A,Desagradable,"sol
zapato 
mar
miel
precipicio
"
Incidental,A,23,Hombre,7,FRESA,A,Agradable,"sol
zapato 
mar
miel
precipicio
"
Incidental,A,23,Hombre,7,DESIERTO,S,3,"sol
zapato 
mar
miel
precipicio
"
