group,list,edad,sexo,estudios,word,cue,response,recall
Intencional,A,22,Hombre,7,HUESO,A,Agradable,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA
Intencional,A,22,Hombre,7,MIEL,S,2,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA
Intencional,A,22,Hombre,7,RINOCERONTE,A,Agradable,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA
Intencional,A,22,Hombre,7,CAMA,S,2,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA
Intencional,A,22,Hombre,7,TORNADO,S,3,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA
Intencional,A,22,Hombre,7,SOL,A,Agradable,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA
Intencional,A,22,Hombre,7,TANQUE,S,2,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA
Intencional,A,22,Hombre,7,VINO,A,Agradable,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA
Intencional,A,22,Hombre,7,MOSCA,S,2,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA
Intencional,A,22,Hombre,7,LENTEJAS,S,3,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA
Intencional,A,22,Hombre,7,FRIO,A,Desagradable,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA
Intencional,A,22,Hombre,7,ELEFANTE,A,Agradable,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA
Intencional,A,22,Hombre,7,CHOCOLATE,S,4,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA
Intencional,A,22,Hombre,7,PAZ,S,1,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA
Intencional,A,22,Hombre,7,PRECIPICIO,A,Desagradable,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA
Intencional,A,22,Hombre,7,BIKINI,S,3,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA
Intencional,A,22,Hombre,7,MAR,A,Agradable,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA
Intencional,A,22,Hombre,7,COCODRILO,S,4,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA
Intencional,A,22,Hombre,7,BUITRE,A,Agradable,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA
Intencional,A,22,Hombre,7,IGLESIA,S,4,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA
Intencional,A,22,Hombre,7,VOLCAN,A,Agradable,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA
Intencional,A,22,Hombre,7,AVISPA,S,3,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA
Intencional,A,22,Hombre,7,FLOR,A,Agradable,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA
Intencional,A,22,Hombre,7,ZAPATO,A,Agradable,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA
Intencional,A,22,Hombre,7,DELFIN,S,2,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA
Intencional,A,22,Hombre,7,ENSALADA,A,Desagradable,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA
Intencional,A,22,Hombre,7,TERREMOTO,S,4,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA
Intencional,A,22,Hombre,7,GUSANO,A,Desagradable,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA
Intencional,A,22,Hombre,7,FRESA,A,Desagradable,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA
Intencional,A,22,Hombre,7,DESIERTO,S,4,MAR SOL ELEFANTE MOSCA PRECIPICIO IGLESIA VINO FRESA BUITRE VOLCAN HUESO ROPA MOSCA
