group,list,edad,sexo,estudios,word,cue,response,recall
Intencional,B,52,Hombre,1,HUESO,S,2,"Cocodrilo miel terremoto delfín cama tanque desierto iglesia FRIO lentejas "
Intencional,B,52,Hombre,1,MIEL,A,Agradable,"Cocodrilo miel terremoto delfín cama tanque desierto iglesia FRIO lentejas "
Intencional,B,52,Hombre,1,RINOCERONTE,S,5+,"Cocodrilo miel terremoto delfín cama tanque desierto iglesia FRIO lentejas "
Intencional,B,52,Hombre,1,CAMA,A,Agradable,"Cocodrilo miel terremoto delfín cama tanque desierto iglesia FRIO lentejas "
Intencional,B,52,Hombre,1,TORNADO,A,Desagradable,"Cocodrilo miel terremoto delfín cama tanque desierto iglesia FRIO lentejas "
Intencional,B,52,Hombre,1,SOL,S,1,"Cocodrilo miel terremoto delfín cama tanque desierto iglesia FRIO lentejas "
Intencional,B,52,Hombre,1,TANQUE,A,Desagradable,"Cocodrilo miel terremoto delfín cama tanque desierto iglesia FRIO lentejas "
Intencional,B,52,Hombre,1,VINO,S,2,"Cocodrilo miel terremoto delfín cama tanque desierto iglesia FRIO lentejas "
Intencional,B,52,Hombre,1,MOSCA,A,Desagradable,"Cocodrilo miel terremoto delfín cama tanque desierto iglesia FRIO lentejas "
Intencional,B,52,Hombre,1,LENTEJAS,A,Agradable,"Cocodrilo miel terremoto delfín cama tanque desierto iglesia FRIO lentejas "
Intencional,B,52,Hombre,1,FRIO,S,2,"Cocodrilo miel terremoto delfín cama tanque desierto iglesia FRIO lentejas "
Intencional,B,52,Hombre,1,ELEFANTE,S,3,"Cocodrilo miel terremoto delfín cama tanque desierto iglesia FRIO lentejas "
Intencional,B,52,Hombre,1,CHOCOLATE,A,Agradable,"Cocodrilo miel terremoto delfín cama tanque desierto iglesia FRIO lentejas "
Intencional,B,52,Hombre,1,PAZ,A,Agradable,"Cocodrilo miel terremoto delfín cama tanque desierto iglesia FRIO lentejas "
Intencional,B,52,Hombre,1,PRECIPICIO,S,4,"Cocodrilo miel terremoto delfín cama tanque desierto iglesia FRIO lentejas "
Intencional,B,52,Hombre,1,BIKINI,A,Agradable,"Cocodrilo miel terremoto delfín cama tanque desierto iglesia FRIO lentejas "
Intencional,B,52,Hombre,1,MAR,S,1,"Cocodrilo miel terremoto delfín cama tanque desierto iglesia FRIO lentejas "
Intencional,B,52,Hombre,1,COCODRILO,A,Desagradable,"Cocodrilo miel terremoto delfín cama tanque desierto iglesia FRIO lentejas "
Intencional,B,52,Hombre,1,BUITRE,S,2,"Cocodrilo miel terremoto delfín cama tanque desierto iglesia FRIO lentejas "
Intencional,B,52,Hombre,1,IGLESIA,A,Desagradable,"Cocodrilo miel terremoto delfín cama tanque desierto iglesia FRIO lentejas "
Intencional,B,52,Hombre,1,VOLCAN,S,2,"Cocodrilo miel terremoto delfín cama tanque desierto iglesia FRIO lentejas "
Intencional,B,52,Hombre,1,AVISPA,A,Desagradable,"Cocodrilo miel terremoto delfín cama tanque desierto iglesia FRIO lentejas "
Intencional,B,52,Hombre,1,FLOR,S,1,"Cocodrilo miel terremoto delfín cama tanque desierto iglesia FRIO lentejas "
Intencional,B,52,Hombre,1,ZAPATO,S,3,"Cocodrilo miel terremoto delfín cama tanque desierto iglesia FRIO lentejas "
Intencional,B,52,Hombre,1,DELFIN,A,Agradable,"Cocodrilo miel terremoto delfín cama tanque desierto iglesia FRIO lentejas "
Intencional,B,52,Hombre,1,ENSALADA,S,4,"Cocodrilo miel terremoto delfín cama tanque desierto iglesia FRIO lentejas "
Intencional,B,52,Hombre,1,TERREMOTO,A,Desagradable,"Cocodrilo miel terremoto delfín cama tanque desierto iglesia FRIO lentejas "
Intencional,B,52,Hombre,1,GUSANO,S,3,"Cocodrilo miel terremoto delfín cama tanque desierto iglesia FRIO lentejas "
Intencional,B,52,Hombre,1,FRESA,S,2,"Cocodrilo miel terremoto delfín cama tanque desierto iglesia FRIO lentejas "
Intencional,B,52,Hombre,1,DESIERTO,A,Agradable,"Cocodrilo miel terremoto delfín cama tanque desierto iglesia FRIO lentejas "
